鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
新莊區,房地(土地+建物)+車位,中正路340巷1~30號,17.08,都市：其他:住宅區,,,1060920,土地1建物1車位1,五層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,144.92000000000002,3,2,2,有,有,16450000,120557,坡道平面,24.23,1900000,,RPXPMLPKIIPFFBF09DA,75.26,0.0,4.33,有
新莊區,房地(土地+建物),中正路340巷1~30號,15.29,都市：其他:住宅區,,,1061022,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,120.69,3,2,2,有,有,14900000,123457,,0.0,0,,RPOQMLPKIIPFFBF28DA,75.26,0.0,4.33,有
新莊區,房地(土地+建物)+車位,中正路340巷1~30號,17.08,都市：其他:住宅區,,,1090620,土地1建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,144.92000000000002,3,2,2,有,有,19800000,145828,坡道平面,24.23,2200000,,RPPQMLPKIIPFFBF38DA,75.26,0.0,4.34,有
新莊區,房地(土地+建物),中正路340巷1~30號,11.0,都市：其他:住宅區,,,1090519,土地1建物1車位0,三層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,86.35,2,2,2,有,有,9980000,115576,,0.0,0,,RPRQMLPKIIPFFBF58DA,53.81,0.0,3.22,有
新莊區,房地(土地+建物),中正路340巷1~30號,11.0,都市：其他:住宅區,,,1060715,土地1建物1車位0,五層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,86.35,2,2,2,有,有,10250000,118703,,0.0,0,,RPSQMLPKIIPFFBF68DA,53.81,0.0,3.22,有
新莊區,房地(土地+建物)+車位,中正路340巷1~30號,12.79,都市：其他:住宅區,,,1060603,土地1建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,110.58,2,2,2,有,有,12720000,125304,坡道平面,24.23,1900000,,RPUQMLPKIIPFFBF88DA,53.81,0.0,3.22,有
新莊區,房地(土地+建物)+車位,昌和街61~90號,25.59,都市：其他:第二種住宅區,,,1090513,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090903,187.71,3,2,2,有,有,23290000,135321,坡道平面,30.38,2000000,,RPPPNLOKIIPFFBF28DA,89.3,4.41,11.57,有
新莊區,房地(土地+建物)+車位,昌和街61~90號,15.72,都市：其他:第二種住宅區,,,1090216,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090903,125.58,2,2,1,有,有,14130000,127416,坡道平面,30.38,2000000,,RPQPNLOKIIPFFBF38DA,55.65,3.15,5.07,有
新莊區,房地(土地+建物)+車位,昌和街61~90號,15.49,都市：其他:第二種住宅區,,,1090215,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090903,125.1,2,2,1,有,有,14510000,129962,坡道平面,30.38,2200000,,RPRPNLOKIIPFFBF48DA,56.06,2.75,4.6,有
新莊區,房地(土地+建物),昌和街61~90號,15.04,都市：其他:第二種住宅區,,,1090222,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090903,94.72,2,2,1,有,有,12350000,130384,,0.0,0,,RPSPNLOKIIPFFBF58DA,56.06,2.75,4.6,有
